GEOID10,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
4001917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,257,528
4001919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,260,1225
4001920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,327,621
4001924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,287,864
4001925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,76,254
4001926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,85,177
4001930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,60,237
4001931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437,291,1146
4001932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,122,177
4001933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,157,358
4001934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,301,886
4001939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,226,839
4001951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,155,197
4001952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,74,329
4001953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,62,128
4001961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,120,403
4001962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,233,585
4001963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,235,751
4001971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,265,698
400211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,507,431
400212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,457,618
400213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,452,755
400214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,584,578
400215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,149,147
400216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,287,330
