GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
120860807,0,0,0,0,0,0,221,155,64
120860808,0,0,0,0,0,0,480,427,52
120860809,0,0,0,0,0,0,362,322,39
120860810,0,0,0,0,0,0,0,0,0
120860811,0,0,0,0,0,0,99,88,11
120860812,0,0,0,0,0,0,90,80,10
120860813,0,0,0,0,0,0,150,126,24
120860814,0,0,0,0,0,0,185,155,30
120860815,0,0,0,0,0,0,636,626,9
120860816,0,0,0,0,0,0,1051,1035,15
120860817,0,0,0,0,0,0,42,41,1
120860818,0,0,0,0,0,0,282,229,52
120860819,0,0,0,0,0,0,120,97,22
120860820,0,0,0,0,0,0,20,16,4
120860821,0,0,0,0,0,0,653,571,81
120860822,0,0,0,0,0,0,116,101,15
120860823,0,0,0,0,0,0,237,207,29
120860824,0,0,0,0,0,0,410,372,36
120860825,0,0,0,0,0,0,212,193,18
120860826,0,0,0,0,0,0,525,398,125
120860827,0,0,0,0,0,0,1068,835,222
120860828,0,0,0,0,0,0,220,192,26
120860829,0,0,0,0,0,0,931,566,359
120860830,0,0,0,0,0,0,903,542,356
120860831,0,0,0,0,0,0,11,7,4
120860832,0,0,0,0,0,0,223,132,90
120860833,0,0,0,0,0,0,1887,953,925
120860834,0,0,0,0,0,0,1546,1076,459
120860835,0,0,0,0,0,0,153,107,45
120860836,0,0,0,0,0,0,821,366,452
120860837,0,0,0,0,0,0,679,303,374
120860838,0,0,0,0,0,0,218,97,120
120860839,0,0,0,0,0,0,360,247,111
120860840,0,0,0,0,0,0,922,621,295
120860841,0,0,0,0,0,0,951,353,593
120860842,0,0,0,0,0,0,626,232,391
120860843,0,0,0,0,0,0,978,324,652
120860844,0,0,0,0,0,0,807,312,491
120860845,0,0,0,0,0,0,559,196,362
120860846,0,0,0,0,0,0,92,32,60
120860847,0,0,0,0,0,0,873,381,489
120860848,0,0,0,0,0,0,471,174,297
120860849,0,0,0,0,0,0,1387,418,963
120860850,0,0,0,0,0,0,657,176,479
120860851,0,0,0,0,0,0,1866,552,1311
120860852,0,0,0,0,0,0,121,44,77
120860853,0,0,0,0,0,0,1583,480,1099
120860854,0,0,0,0,0,0,731,247,482
120860855,0,0,0,0,0,0,1030,307,720
120860856,0,0,0,0,0,0,1370,513,852
120860857,0,0,0,0,0,0,169,63,105
120860858,0,0,0,0,0,0,871,389,477
120860859,0,0,0,0,0,0,514,229,282
120860860,0,0,0,0,0,0,2065,695,1363
120860861,0,0,0,0,0,0,1403,611,788
120860862,0,0,0,0,0,0,1300,581,715
120860863,0,0,0,0,0,0,1423,669,751
120860864,0,0,0,0,0,0,2157,1040,1110
120860865,0,0,0,0,0,0,803,438,361
120860866,0,0,0,0,0,0,1471,646,815
120860868,0,0,0,0,0,0,764,416,346
120860869,0,0,0,0,0,0,1997,1086,904
120860870,0,0,0,0,0,0,1167,454,708
120860871,0,0,0,0,0,0,932,430,496
120860872,0,0,0,0,0,0,958,361,591
120860873,0,0,0,0,0,0,1603,607,992
120860874,0,0,0,0,0,0,1590,552,1024
120860875,0,0,0,0,0,0,1579,502,1071
120860876,0,0,0,0,0,0,113,36,76
120860877,0,0,0,0,0,0,292,92,199
120860878,0,0,0,0,0,0,69,22,47
120860879,0,0,0,0,0,0,2011,724,1280
120860880,0,0,0,0,0,0,1549,742,800
120860881,0,0,0,0,0,0,1854,820,1027
120860882,0,0,0,0,0,0,2211,950,1250
120860883,0,0,0,0,0,0,160,154,6
120860884,0,0,0,0,0,0,0,0,0
120860885,0,0,0,0,0,0,0,0,0
120860886,0,0,0,0,0,0,240,69,170
120860887,0,0,0,0,0,0,10,3,7
120860888,0,0,0,0,0,0,527,342,181
120860889,0,0,0,0,0,0,409,266,140
120860890,0,0,0,0,0,0,93,60,32
120860891,0,0,0,0,0,0,530,344,182
120860892,0,0,0,0,0,0,213,139,73
120860893,0,0,0,0,0,0,941,683,251
120860894,0,0,0,0,0,0,226,164,60
120860895,0,0,0,0,0,0,972,820,149
120860896,0,0,0,0,0,0,19,16,3
120860897,0,0,0,0,0,0,75,64,11
120860898,0,0,0,0,0,0,111,93,17
120860899,0,0,0,0,0,0,539,526,12
120860900,0,0,0,0,0,0,160,157,3
120860901,0,0,0,0,0,0,70,48,22
120860902,0,0,0,0,0,0,477,321,153
120860903,0,0,0,0,0,0,388,262,124
120860904,0,0,0,0,0,0,438,296,140
120860905,0,0,0,0,0,0,436,308,126
120860906,0,0,0,0,0,0,564,398,163
120860907,0,0,0,0,0,0,365,258,105
120860908,0,0,0,0,0,0,412,310,101
120860909,0,0,0,0,0,0,23,15,7
120860910,0,0,0,0,0,0,40,28,12
120860911,0,0,0,0,0,0,0,0,0
120860912,0,0,0,0,0,0,287,204,81
120860913,0,0,0,0,0,0,1,1,0
120860914,0,0,0,0,0,0,283,202,80
120860915,0,0,0,0,0,0,1093,641,451
120860916,0,0,0,0,0,0,276,244,30
120860917,0,0,0,0,0,0,623,302,318
120860918,0,0,0,0,0,0,346,162,182
120860919,0,0,0,0,0,0,986,754,229
120860920,0,0,0,0,0,0,95,74,19
120860921,0,0,0,0,0,0,387,240,145
120860922,0,0,0,0,0,0,207,176,30
120860923,0,0,0,0,0,0,1314,549,761
120860924,0,0,0,0,0,0,1157,486,664
120860925,0,0,0,0,0,0,0,0,0
120860926,0,0,0,0,0,0,1179,541,631
120860927,0,0,0,0,0,0,1451,876,566
120860928,0,0,0,0,0,0,1053,480,571
120860929,0,0,0,0,0,0,0,0,0
120860930,0,0,0,0,0,0,2120,1373,737
120860931,0,0,0,0,0,0,9,6,3
120860932,0,0,0,0,0,0,176,114,61
120860933,0,0,0,0,0,0,12,8,4
