GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
470372000,0,0,0,1202,490,701
470372001,0,0,0,1794,679,1090
470372002,0,0,0,7,3,4
470372004,0,0,0,2160,1076,1042
470372008,0,0,0,2345,1118,1198
470372016,0,0,0,1826,822,993
470372018,0,0,0,2374,1156,1185
470372022,0,0,0,2306,883,1412
470372026,0,0,0,522,215,300
470372032,0,0,0,2205,763,1421
470372035,0,0,0,285,160,121
470372036,0,0,0,921,368,545
470372040,0,0,0,1970,524,1437
470372044,0,0,0,3333,1402,1910
470372048,0,0,0,1816,759,1040
470372050,0,0,0,1044,553,483
470372052,0,0,0,1387,495,886
470372068,0,0,0,1404,792,596
470372072,0,0,0,4019,1887,2091
470372074,0,0,0,4203,1801,2366
470372075,0,0,0,673,300,365
470372076,0,0,0,2045,827,1191
470372080,0,0,0,544,204,332
470372086,0,0,0,2226,1326,885
470372088,0,0,0,31,22,9
470372092,0,0,0,1212,828,369
470372095,0,0,0,1106,788,306
470372096,0,0,0,1337,785,526
470372097,0,0,0,2885,2732,137
470372098,0,0,0,461,133,324
470372104,0,0,0,1188,1140,39
470372112,0,0,0,1362,1157,185
470372116,0,0,0,1768,1286,453
470372120,0,0,0,540,423,110
470372122,0,0,0,246,185,50
470372124,0,0,0,1993,1845,128
470372130,0,0,0,847,809,30
470372131,0,0,0,1113,994,94
470372140,0,0,0,851,821,23
470372142,0,0,0,1769,1366,365
470372144,0,0,0,1324,1038,258
470372146,0,0,0,616,385,220
470372148,0,0,0,1886,1413,434
470372156,0,0,0,1765,1622,133
470372164,0,0,0,1176,791,362
470372166,0,0,0,613,475,126
470372172,0,0,0,1880,1231,612
470372176,0,0,0,1818,1026,760
470372180,0,0,0,1725,1130,563
470372183,0,0,0,1787,1253,503
470372184,0,0,0,1594,1021,545
470372192,0,0,0,1695,1183,489
470372196,0,0,0,1636,901,712
470372197,0,0,0,786,508,263
470372200,0,0,0,2840,1804,1007
470392216,0,0,0,553,201,341
470392224,0,0,0,170,44,124
470392228,0,0,0,311,100,204
470392232,0,0,0,424,159,256
470392234,0,0,0,102,24,76
470392236,0,0,0,593,239,340
470392240,0,0,0,490,205,278
470392244,0,0,0,446,127,311
470392248,0,0,0,325,108,209
470392252,0,0,0,233,83,146
470392256,0,0,0,574,145,415
470392260,0,0,0,179,32,144
470392264,0,0,0,363,99,257
470412272,0,0,0,674,265,400
470412276,0,0,0,235,82,149
470412280,0,0,0,76,26,48
470412284,0,0,0,393,114,267
470412288,0,0,0,289,134,151
470412289,0,0,0,377,138,230
470412292,0,0,0,1005,390,591
470412300,0,0,0,105,38,65
470412304,0,0,0,159,41,114
470412308,0,0,0,884,378,490
470412312,0,0,0,294,91,194
470412316,0,0,0,759,317,425
470412320,0,0,0,248,105,139
470412324,0,0,0,384,181,191
470412328,0,0,0,387,161,223
470412332,0,0,0,796,371,408
470432340,0,0,0,533,153,372
470432344,0,0,0,843,288,546
470432348,0,0,0,1110,439,656
470432356,0,0,0,1445,666,757
470432360,0,0,0,597,248,339
470432364,0,0,0,767,228,529
470432368,0,0,0,666,253,399
470432380,0,0,0,1531,590,918
470432384,0,0,0,1485,635,820
470432392,0,0,0,1456,721,717
470432396,0,0,0,1537,544,964
470432400,0,0,0,1270,430,820
470432408,0,0,0,1540,618,895
470432416,0,0,0,396,132,254
470432420,0,0,0,789,282,495
470432424,0,0,0,895,359,520
470432428,0,0,0,1152,367,755
470432432,0,0,0,1507,553,921
470452444,0,0,0,1453,354,1079
470452448,0,0,0,1938,542,1381
470452452,0,0,0,427,82,342
470452456,0,0,0,613,153,446
470452460,0,0,0,850,773,77
470452464,0,0,0,803,266,529
470452468,0,0,0,1324,455,844
470452472,0,0,0,703,165,535
470452476,0,0,0,694,181,502
470452484,0,0,0,372,96,271
470452492,0,0,0,1098,358,725
470452496,0,0,0,792,110,669
470452500,0,0,0,1603,440,1142
470452508,0,0,0,700,164,529
470452516,0,0,0,432,89,334
470452520,0,0,0,648,183,454
470472533,0,0,0,762,365,391
470472537,0,0,0,1093,414,670
470472540,0,0,0,956,338,607
470472545,0,0,0,1237,626,596
470472549,0,0,0,417,193,219
470472553,0,0,0,944,238,699
470472556,0,0,0,625,250,369
470472559,0,0,0,668,233,428
470472561,0,0,0,1880,989,872
470472564,0,0,0,689,255,430
470472572,0,0,0,365,177,188
470472576,0,0,0,659,491,161
470472581,0,0,0,317,124,190
470472588,0,0,0,2524,570,1937
470472593,0,0,0,4324,1068,3207
470472596,0,0,0,540,170,358
470472600,0,0,0,1254,391,851
470492608,0,0,0,620,152,455
470492612,0,0,0,514,166,339
470492616,0,0,0,736,204,520
470492620,0,0,0,316,98,212
470492624,0,0,0,225,64,161
470492628,0,0,0,522,133,377
470492632,0,0,0,670,192,460
470492636,0,0,0,249,75,172
470492640,0,0,0,974,252,706
470492644,0,0,0,471,110,348
470492648,0,0,0,560,184,369
470492652,0,0,0,581,144,429
470492656,0,0,0,301,57,241
470512664,0,0,0,786,324,433
470512668,0,0,0,427,120,303
470512672,0,0,0,762,154,587
470512676,0,0,0,966,307,644
470512678,0,0,0,604,142,452
470512684,0,0,0,1281,414,850
470512688,0,0,0,1000,376,607
470512692,0,0,0,1439,518,892
470512696,0,0,0,834,381,436
470512700,0,0,0,1308,399,899
470512704,0,0,0,1353,414,922
470512708,0,0,0,300,135,163
470512712,0,0,0,637,180,438
470512716,0,0,0,601,272,323
470512720,0,0,0,2255,1593,635
470512724,0,0,0,253,118,133
470512728,0,0,0,1092,355,722
470512730,0,0,0,1534,411,1100
470532736,0,0,0,547,183,350
470532740,0,0,0,332,93,231
470532748,0,0,0,225,54,170
470532752,0,0,0,193,41,148
470532756,0,0,0,1452,531,896
470532760,0,0,0,245,77,159
470532764,0,0,0,193,79,109
470532768,0,0,0,122,50,69
470532772,0,0,0,564,511,51
470532776,0,0,0,388,123,257
470532780,0,0,0,617,149,457
470532784,0,0,0,921,272,638
470532788,0,0,0,368,75,285
470532796,0,0,0,687,412,262
470532800,0,0,0,300,66,224
470532804,0,0,0,614,582,24
470532812,0,0,0,226,61,159
470532816,0,0,0,404,125,272
470532820,0,0,0,300,74,220
470532828,0,0,0,2041,298,1719
470532832,0,0,0,672,287,376
470532836,0,0,0,1169,227,924
470532838,0,0,0,956,281,660
470532840,0,0,0,591,492,95
470532842,0,0,0,247,54,188
470532844,0,0,0,543,111,426
470532856,0,0,0,716,208,492
470532860,0,0,0,615,140,469
470532864,0,0,0,313,35,267
470532868,0,0,0,354,53,297
470532872,0,0,0,480,176,300
470532876,0,0,0,1423,703,706
470532880,0,0,0,699,241,440
470532884,0,0,0,948,374,566
470532888,0,0,0,394,72,317
470532892,0,0,0,394,96,293
470552900,0,0,0,686,550,132
470552904,0,0,0,516,190,315
470552908,0,0,0,992,334,649
470552912,0,0,0,535,253,273
470552916,0,0,0,739,273,457
470552920,0,0,0,804,265,523
470552924,0,0,0,814,284,514
470552928,0,0,0,840,233,596
470552932,0,0,0,839,467,358
470552936,0,0,0,769,226,535
470552940,0,0,0,1043,330,691
470552944,0,0,0,990,314,659
470552948,0,0,0,954,469,470
470552952,0,0,0,1168,426,730
470572960,0,0,0,744,202,520
470572964,0,0,0,857,196,645
470572968,0,0,0,537,192,335
470572972,0,0,0,989,236,741
470572976,0,0,0,947,276,647
470572980,0,0,0,797,157,623
470572984,0,0,0,513,208,293
470572988,0,0,0,614,149,459
470572992,0,0,0,804,198,593
470572994,0,0,0,701,252,441
470593000,0,0,0,545,368,169
470593004,0,0,0,749,197,534
470593008,0,0,0,639,137,492
470593012,0,0,0,887,234,647
470593016,0,0,0,1003,258,726
470593020,0,0,0,1192,327,848
470593024,0,0,0,360,121,231
470593028,0,0,0,1659,397,1233
470593032,0,0,0,953,301,638
470593036,0,0,0,806,232,564
470593040,0,0,0,948,283,651
470593044,0,0,0,592,144,434
470593048,0,0,0,852,220,622
470593052,0,0,0,766,227,526
470593056,0,0,0,682,220,454
470593060,0,0,0,383,157,223
470593072,0,0,0,516,100,410
470593076,0,0,0,818,273,537
470593080,0,0,0,592,185,395
470593084,0,0,0,515,162,342
470593088,0,0,0,1087,302,763
470593092,0,0,0,494,131,349
470593096,0,0,0,967,294,651
470593100,0,0,0,639,176,449
470593104,0,0,0,330,81,243
470593108,0,0,0,852,268,573
470593112,0,0,0,753,183,556
470593116,0,0,0,316,84,229
470593117,0,0,0,448,121,318
470593120,0,0,0,949,279,656
470593124,0,0,0,1129,328,780
470593128,0,0,0,246,65,173
470593129,0,0,0,267,71,191
470593136,0,0,0,736,184,544
470613144,0,0,0,72,33,35
470613150,0,0,0,108,19,87
470613152,0,0,0,173,79,94
470613160,0,0,0,425,199,213
470613164,0,0,0,602,239,339
470613166,0,0,0,155,61,92
470613168,0,0,0,703,317,372
470613176,0,0,0,493,195,288
470613178,0,0,0,200,83,115
470613180,0,0,0,260,154,101
470613184,0,0,0,200,68,129
470613192,0,0,0,122,65,55
470613200,0,0,0,1119,459,643
470633208,0,0,0,624,150,470
470633212,0,0,0,1260,344,898
470633216,0,0,0,768,265,481
470633220,0,0,0,547,159,371
470633224,0,0,0,2090,580,1475
470633228,0,0,0,2259,523,1710
470633232,0,0,0,2090,545,1519
470633236,0,0,0,1154,538,603
470633240,0,0,0,1061,457,579
470633244,0,0,0,1419,508,884
470633248,0,0,0,1068,418,635
470633252,0,0,0,1500,371,1113
470633256,0,0,0,1374,480,870
470633260,0,0,0,1870,478,1363
470633264,0,0,0,1700,496,1180
470633268,0,0,0,930,247,670
470633272,0,0,0,955,248,687
470653284,0,0,0,793,561,224
470653285,0,0,0,0,0,0
470653287,0,0,0,170,72,97
470653288,0,0,0,1467,1457,10
470653292,0,0,0,229,203,23
470653296,0,0,0,1357,1352,5
470653300,0,0,0,1359,1127,231
470653304,0,0,0,929,420,492
470653308,0,0,0,1254,626,614
470653312,0,0,0,1178,1162,16
470653316,0,0,0,379,203,175
470653324,0,0,0,375,295,75
470653325,0,0,0,300,297,3
470653328,0,0,0,1531,577,944
470653329,0,0,0,1317,532,782
470653330,0,0,0,336,94,241
470653332,0,0,0,1279,1144,129
470653336,0,0,0,950,878,69
470653340,0,0,0,1821,1326,469
470653344,0,0,0,1227,427,783
470653348,0,0,0,1787,572,1204
470653349,0,0,0,2183,803,1358
470653352,0,0,0,786,684,95
470653356,0,0,0,1438,984,442
470653360,0,0,0,851,671,172
470653361,0,0,0,43,36,7
470653364,0,0,0,1032,990,39
470653365,0,0,0,47,40,7
470653368,0,0,0,432,304,128
470653369,0,0,0,998,677,311
470653372,0,0,0,1085,1026,59
470653376,0,0,0,659,420,229
470653380,0,0,0,1366,521,831
470653381,0,0,0,1165,405,750
470653382,0,0,0,10,2,8
470653383,0,0,0,1148,378,760
470653384,0,0,0,541,494,39
470653388,0,0,0,1133,832,293
470653392,0,0,0,732,458,264
470653396,0,0,0,781,351,419
470653404,0,0,0,1011,449,552
470653408,0,0,0,1376,874,490
470653409,0,0,0,2,0,2
470653412,0,0,0,1262,476,765
470653413,0,0,0,1637,849,767
470653416,0,0,0,1204,653,541
470653420,0,0,0,614,351,259
470653421,0,0,0,847,534,292
470653424,0,0,0,1689,706,962
470653428,0,0,0,1089,431,637
470653429,0,0,0,59,18,41
470653432,0,0,0,1022,447,560
470653433,0,0,0,0,0,0
470653434,0,0,0,460,159,298
470653440,0,0,0,497,494,0
470653444,0,0,0,776,626,143
470653448,0,0,0,1895,961,908
