GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen
300470001001,845,293,507,0,0,0,0,0,0,0,0,0,0,0,0
300470002001,575,238,304,0,0,0,0,0,0,0,0,0,0,0,0
300470002002,424,151,245,0,0,0,0,0,0,0,0,0,0,0,0
300479403011,523,269,235,0,0,0,0,0,0,0,0,0,0,0,0
300479403012,572,275,268,0,0,0,0,0,0,0,0,0,0,0,0
300479403013,740,368,336,0,0,0,0,0,0,0,0,0,0,0,0
300479403014,815,376,396,0,0,0,0,0,0,0,0,0,0,0,0
300479403031,844,376,439,0,0,0,0,0,0,0,0,0,0,0,0
300479403032,785,332,418,0,0,0,0,0,0,0,0,0,0,0,0
300479403033,551,248,278,0,0,0,0,0,0,0,0,0,0,0,0
300479403034,536,239,279,0,0,0,0,0,0,0,0,0,0,0,0
300479403035,498,276,199,0,0,0,0,0,0,0,0,0,0,0,0
300479404001,475,229,223,0,0,0,0,0,0,0,0,0,0,0,0
300479404002,713,359,318,0,0,0,0,0,0,0,0,0,0,0,0
300479404003,289,166,110,0,0,0,0,0,0,0,0,0,0,0,0
300479405001,561,248,282,0,0,0,0,0,0,0,0,0,0,0,0
300479405002,454,251,173,0,0,0,0,0,0,0,0,0,0,0,0
300479405003,520,285,211,0,0,0,0,0,0,0,0,0,0,0,0
300479405004,467,276,169,0,0,0,0,0,0,0,0,0,0,0,0
300479406001,460,230,212,0,0,0,0,0,0,0,0,0,0,0,0
300479406002,495,274,199,0,0,0,0,0,0,0,0,0,0,0,0
300479406003,392,208,170,0,0,0,0,0,0,0,0,0,0,0,0
300479406004,501,215,256,0,0,0,0,0,0,0,0,0,0,0,0
300479407001,357,231,116,0,0,0,0,0,0,0,0,0,0,0,0
300479407002,521,353,155,0,0,0,0,0,0,0,0,0,0,0,0
300490001001,678,231,430,0,0,0,0,0,0,0,0,0,0,0,0
300490001002,414,105,296,0,0,0,0,0,0,0,0,0,0,0,0
300490002001,592,210,373,0,0,0,0,0,0,0,0,0,0,0,0
300490002002,688,285,387,0,0,0,0,0,0,0,0,0,0,0,0
300490002003,978,360,600,0,0,0,0,0,0,0,0,0,0,0,0
300490003001,347,112,218,0,0,0,0,0,0,0,0,0,0,0,0
300490003002,1069,410,627,0,0,0,0,0,0,0,0,0,0,0,0
300490004001,487,281,190,0,0,0,0,0,0,0,0,0,0,0,0
300490004002,768,331,423,0,0,0,0,0,0,0,0,0,0,0,0
300490004003,412,185,220,0,0,0,0,0,0,0,0,0,0,0,0
300490004004,681,288,370,0,0,0,0,0,0,0,0,0,0,0,0
300490004005,685,290,376,0,0,0,0,0,0,0,0,0,0,0,0
300490005011,864,321,515,0,0,0,0,0,0,0,0,0,0,0,0
300490005012,1055,508,524,0,0,0,0,0,0,0,0,0,0,0,0
300490005021,1520,747,743,0,0,0,0,0,0,0,0,0,0,0,0
300490005022,983,551,407,0,0,0,0,0,0,0,0,0,0,0,0
300490005023,640,355,273,0,0,0,0,0,0,0,0,0,0,0,0
300490006001,736,353,367,0,0,0,0,0,0,0,0,0,0,0,0
300490006002,546,222,309,0,0,0,0,0,0,0,0,0,0,0,0
300490007001,645,484,148,0,0,0,0,0,0,0,0,0,0,0,0
300490007002,428,263,159,0,0,0,0,0,0,0,0,0,0,0,0
300490007003,540,323,208,0,0,0,0,0,0,0,0,0,0,0,0
300490007004,487,297,179,0,0,0,0,0,0,0,0,0,0,0,0
300490007005,600,322,270,0,0,0,0,0,0,0,0,0,0,0,0
300490007006,353,170,174,0,0,0,0,0,0,0,0,0,0,0,0
300490007007,701,393,292,0,0,0,0,0,0,0,0,0,0,0,0
300490008001,683,487,177,0,0,0,0,0,0,0,0,0,0,0,0
300490008002,373,280,87,0,0,0,0,0,0,0,0,0,0,0,0
300490008003,805,555,235,0,0,0,0,0,0,0,0,0,0,0,0
300490008004,444,332,95,0,0,0,0,0,0,0,0,0,0,0,0
300490009001,353,204,141,0,0,0,0,0,0,0,0,0,0,0,0
300490009002,388,224,156,0,0,0,0,0,0,0,0,0,0,0,0
300490009003,439,294,135,0,0,0,0,0,0,0,0,0,0,0,0
300490009004,517,346,158,0,0,0,0,0,0,0,0,0,0,0,0
300490010001,513,387,113,0,0,0,0,0,0,0,0,0,0,0,0
300490010002,480,347,120,0,0,0,0,0,0,0,0,0,0,0,0
300490010003,425,256,161,0,0,0,0,0,0,0,0,0,0,0,0
300490010004,516,331,175,0,0,0,0,0,0,0,0,0,0,0,0
300490010005,703,512,174,0,0,0,0,0,0,0,0,0,0,0,0
300490011001,417,249,160,0,0,0,0,0,0,0,0,0,0,0,0
300490011002,778,472,295,0,0,0,0,0,0,0,0,0,0,0,0
300490011003,1101,641,446,0,0,0,0,0,0,0,0,0,0,0,0
