GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
440070013003,206,184,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070013004,237,213,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070014001,193,184,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070014002,294,278,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070014003,199,183,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070014004,357,330,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070014005,299,277,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070015001,417,354,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070015002,378,321,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070015003,349,296,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070016001,132,111,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070016002,256,213,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070016003,232,195,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070016004,196,165,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070016005,271,211,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070016006,282,234,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070016007,144,124,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070017001,243,179,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070017002,282,208,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070017003,426,313,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070018001,323,237,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070018002,385,328,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070018003,150,145,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070018004,203,173,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070018005,278,216,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070018006,349,257,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070019001,128,113,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070019002,156,133,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070019003,145,129,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070019004,127,117,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070019005,171,148,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070019006,242,214,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070020001,603,461,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070020002,285,219,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070020003,214,188,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070020004,383,292,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070021011,335,237,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070021012,366,261,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070021013,552,393,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070021021,223,178,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070021022,242,203,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070021023,509,417,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070021024,405,323,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070021025,210,172,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070022001,237,200,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070022002,184,157,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070022003,275,232,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070022004,226,191,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440070023001,287,225,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
