GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag
19159159017,950,460,483,0,0,0,0,0,0,0,0,0,0,0,0
19159159018,88,42,45,0,0,0,0,0,0,0,0,0,0,0,0
19159159019,257,111,140,0,0,0,0,0,0,0,0,0,0,0,0
19159159020,55,24,30,0,0,0,0,0,0,0,0,0,0,0,0
19159159021,41,20,21,0,0,0,0,0,0,0,0,0,0,0,0
19159159022,77,37,39,0,0,0,0,0,0,0,0,0,0,0,0
19159159023,91,48,41,0,0,0,0,0,0,0,0,0,0,0,0
19159159024,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
19161161001,447,181,251,0,0,0,0,0,0,0,0,0,0,0,0
19161161002,94,44,48,0,0,0,0,0,0,0,0,0,0,0,0
19161161003,130,61,67,0,0,0,0,0,0,0,0,0,0,0,0
19161161004,64,30,33,0,0,0,0,0,0,0,0,0,0,0,0
19161161005,100,48,47,0,0,0,0,0,0,0,0,0,0,0,0
19161161006,132,64,62,0,0,0,0,0,0,0,0,0,0,0,0
19161161007,110,56,52,0,0,0,0,0,0,0,0,0,0,0,0
19161161008,1095,559,521,0,0,0,0,0,0,0,0,0,0,0,0
19161161009,365,154,209,0,0,0,0,0,0,0,0,0,0,0,0
19161161010,85,34,48,0,0,0,0,0,0,0,0,0,0,0,0
19161161011,576,222,344,0,0,0,0,0,0,0,0,0,0,0,0
19161161012,83,32,50,0,0,0,0,0,0,0,0,0,0,0,0
19161161013,119,52,65,0,0,0,0,0,0,0,0,0,0,0,0
19161161014,83,36,46,0,0,0,0,0,0,0,0,0,0,0,0
19161161015,229,99,128,0,0,0,0,0,0,0,0,0,0,0,0
19161161016,125,55,68,0,0,0,0,0,0,0,0,0,0,0,0
19161161017,625,273,340,0,0,0,0,0,0,0,0,0,0,0,0
19161161018,79,34,44,0,0,0,0,0,0,0,0,0,0,0,0
19161161019,403,171,226,0,0,0,0,0,0,0,0,0,0,0,0
19161161020,84,32,50,0,0,0,0,0,0,0,0,0,0,0,0
19163163001,301,132,165,0,0,0,0,0,0,0,0,0,0,0,0
19163163002,335,155,172,0,0,0,0,0,0,0,0,0,0,0,0
19163163003,118,52,65,0,0,0,0,0,0,0,0,0,0,0,0
19163163004,189,87,97,0,0,0,0,0,0,0,0,0,0,0,0
